interaction_id,status,generation,spans_total,spans_active,attributions,review_queue,gap,fallback,transcript_chars,error
cll_06E1AX8T2NZJQ560Q2FJ7BZAKM,pass,0,0,1,1,0,0,false,     916,
cll_06E12ADVP5X353BX2WJWJHB7VR,pass,0,0,1,1,0,0,false,     264,
cll_06E11WMEX5VJB3KXEE1JRW04T8,pass,0,0,4,4,0,0,false,   23808,
cll_06E11WDHM1VR71PS8KA4C45M9C,pass,0,0,1,1,0,0,false,     463,
cll_06E11RXMFXVBK7Q9VWT9DPH0TC,pass,0,0,3,3,0,0,false,   10873,
cll_06E11RN8ASV2F0WFGP8HX0PXFM,pass,0,0,1,1,0,0,false,      80,
cll_06E11A4G1XTJS61HAMMAWDB19C,pass,0,0,2,2,0,0,false,    1184,
cll_06E118603XV5F7AXAJMQVR2C8R,pass,0,0,2,2,0,0,false,    6485,
cll_06E11783E9TAFBWP4B4Q8BP2FC,pass,0,0,1,1,0,0,false,      59,
cll_06E116N73XTD9209P72VCF25CG,pass,0,0,1,1,0,0,false,     629,
cll_06E116HR9XV35101VJN0RVE8VC,pass,0,0,1,1,0,0,false,      56,
cll_06E116BBBHV334EP3ACV20K918,pass,0,0,1,1,0,0,false,     471,
cll_06E10WNC21THSCKGD5D9PD6PAR,pass,0,0,2,2,0,0,false,    3149,
cll_06E10HXAQDVZ31TNPB9J2NPN2G,pass,0,0,1,1,0,0,false,    1174,
cll_06E10H1Y3XWVB6T5MH4MT17TR0,pass,0,0,1,1,0,0,false,     361,
cll_06E10F7J8HVTVFTYXGVCA0GQ90,pass,0,0,1,1,0,0,false,     165,
cll_06E10F1RJHWRF6HCQ84SMT796W,pass,0,0,1,1,0,0,false,     403,
cll_06E10EN3W1VT99N7RZ8EJKHW28,pass,0,0,1,1,0,0,false,     440,
cll_06E10EJPX5WR14YFTR97R4DW2R,pass,0,0,1,1,0,0,false,      96,
cll_06E0YQZGCNSFQ3SF3WB6AWWGHC,pass,0,0,1,1,0,0,false,    1113,
cll_06E0YEEH4HZ1B195DFWSK0M9JW,pass,0,0,1,1,0,0,false,    1844,
cll_06E0YBM9MHYV50044CYDE65C94,pass,0,0,3,3,0,0,false,   12471,
cll_06E0Y22J35W239NRKYCF1GREAG,pass,0,0,1,1,0,0,false,    1798,
cll_06E0QS9BV5SXK4YA55BH86M9BM,pass,0,0,3,3,0,0,false,    4170,
cll_06E0QR4BQSTVB049CNS9V5JK60,pass,0,0,2,2,0,0,false,    4150,
cll_06E0QPHWXXTSH2AC66B2FGCDAM,pass,0,0,3,3,0,0,false,    6299,
cll_06E0Q4VSPNZQDE4WSXMK3C4230,pass,0,0,3,3,0,0,false,    4231,
cll_06E0PACQH1ZCN3YNBTM8K9J54R,pass,0,0,4,4,0,0,false,    9164,
cll_06E0P6KYB5V7S5VYQA8ZTRQM4W,pass,0,0,3,3,0,0,false,   15016,
cll_06E0NGGXV5Z5V2M4MMVGEVEYGR,pass,0,0,1,1,0,0,false,    1379,
